cohort_type,cohort_month,dimension,first_value,m,metric,measure,cohort_size,ltv_per_user
purchase,2025-01-01,category,otc sh,5,any,gm,1,0.0
purchase,2025-01-01,category,otc sh,6,any,revenue,1,0.0
purchase,2025-01-01,category,otc sh,6,any,gm,1,0.0
purchase,2025-01-01,category,otc sh,7,any,revenue,1,0.0
purchase,2025-01-01,category,otc sh,7,any,gm,1,0.0
purchase,2025-01-01,category,otc sh,8,any,revenue,1,0.0
purchase,2025-01-01,category,otc sh,8,any,gm,1,0.0
purchase,2025-01-01,category,otc sh,0,same,revenue,1,76.29427793
purchase,2025-01-01,category,otc sh,0,same,gm,1,32.40217983687101
purchase,2025-01-01,category,otc sh,1,same,revenue,1,0.0
purchase,2025-01-01,category,otc sh,1,same,gm,1,0.0
purchase,2025-01-01,category,otc sh,2,same,revenue,1,0.0
purchase,2025-01-01,category,otc sh,2,same,gm,1,0.0
purchase,2025-01-01,category,otc sh,3,same,revenue,1,0.0
purchase,2025-01-01,category,otc sh,3,same,gm,1,0.0
purchase,2025-01-01,category,otc sh,4,same,revenue,1,0.0
purchase,2025-01-01,category,otc sh,4,same,gm,1,0.0
purchase,2025-01-01,category,otc sh,5,same,revenue,1,0.0
purchase,2025-01-01,category,otc sh,5,same,gm,1,0.0
purchase,2025-01-01,category,otc sh,6,same,revenue,1,0.0
purchase,2025-01-01,category,otc sh,6,same,gm,1,0.0
purchase,2025-01-01,category,otc sh,7,same,revenue,1,0.0
purchase,2025-01-01,category,otc sh,7,same,gm,1,0.0
purchase,2025-01-01,category,otc sh,8,same,revenue,1,0.0
purchase,2025-01-01,category,otc sh,8,same,gm,1,0.0
purchase,2025-01-01,category,otc sk,0,any,revenue,2,127.92915535
purchase,2025-01-01,category,otc sk,0,any,gm,2,95.90848776589502
purchase,2025-01-01,category,otc sk,1,any,revenue,2,0.0
purchase,2025-01-01,category,otc sk,1,any,gm,2,0.0
purchase,2025-01-01,category,otc sk,2,any,revenue,2,122.3433243
purchase,2025-01-01,category,otc sk,2,any,gm,2,91.72079022771001
purchase,2025-01-01,category,otc sk,3,any,revenue,2,0.0
purchase,2025-01-01,category,otc sk,3,any,gm,2,0.0
purchase,2025-01-01,category,otc sk,4,any,revenue,2,0.0
purchase,2025-01-01,category,otc sk,4,any,gm,2,0.0
purchase,2025-01-01,category,otc sk,5,any,revenue,2,0.0
purchase,2025-01-01,category,otc sk,5,any,gm,2,0.0
purchase,2025-01-01,category,otc sk,6,any,revenue,2,0.0
purchase,2025-01-01,category,otc sk,6,any,gm,2,0.0
purchase,2025-01-01,category,otc sk,7,any,revenue,2,0.0
purchase,2025-01-01,category,otc sk,7,any,gm,2,0.0
purchase,2025-01-01,category,otc sk,8,any,revenue,2,0.0
purchase,2025-01-01,category,otc sk,8,any,gm,2,0.0
purchase,2025-01-01,category,otc sk,0,same,revenue,2,127.92915535
